iter	Passed	Remaining
611	12315	1770
612	12348	1752
613	12379	1733
614	12404	1714
615	12432	1695
616	12453	1675
617	12473	1654
618	12491	1634
619	12505	1613
620	12526	1593
621	12547	1573
622	12572	1553
623	12596	1534
624	12615	1513
625	12635	1493
626	12648	1472
627	12673	1453
628	12699	1433
629	12719	1413
630	12738	1392
631	12759	1372
632	12782	1352
633	12802	1332
634	12826	1312
635	12855	1293
636	12879	1273
637	12900	1253
638	12923	1233
639	12949	1213
640	12974	1194
641	13000	1174
642	13024	1154
643	13047	1134
644	13067	1114
645	13083	1093
646	13111	1074
647	13133	1053
648	13153	1033
649	13170	1013
650	13185	992
651	13201	971
652	13221	951
653	13236	931
654	13254	910
655	13273	890
656	13292	869
657	13308	849
658	13323	828
659	13338	808
660	13356	788
661	13377	767
662	13394	747
663	13411	727
664	13428	706
665	13442	686
666	13462	666
667	13482	645
668	13507	625
669	13533	605
670	13557	585
671	13579	565
672	13611	546
673	13634	525
674	13656	505
675	13680	485
676	13696	465
677	13717	445
678	13738	424
679	13761	404
680	13781	384
681	13802	364
682	13816	343
683	13831	323
684	13859	303
685	13898	283
686	13954	264
687	13973	243
688	13990	223
689	14007	203
690	14025	182
691	14043	162
692	14060	142
693	14074	121
694	14094	101
695	14114	81
696	14130	60
697	14149	40
698	14167	20
699	14187	0
